0    DEBUG [2017-01-20 00:08:11]  CookieSpec selected: default
28   DEBUG [2017-01-20 00:08:11]  Auth cache not set in the context
30   DEBUG [2017-01-20 00:08:11]  Connection request: [route: {s}->https://api.github.com:443][total kept alive: 0; route allocated: 0 of 2; total allocated: 0 of 20]
66   DEBUG [2017-01-20 00:08:11]  Connection leased: [id: 0][route: {s}->https://api.github.com:443][total kept alive: 0; route allocated: 1 of 2; total allocated: 1 of 20]
70   DEBUG [2017-01-20 00:08:11]  Opening connection {s}->https://api.github.com:443
3152 DEBUG [2017-01-20 00:08:14]  Connecting to api.github.com/192.30.253.116:443
3153 DEBUG [2017-01-20 00:08:14]  Connecting socket to api.github.com/192.30.253.116:443 with timeout 0
8720 DEBUG [2017-01-20 00:08:19]  Enabled protocols: [TLSv1, TLSv1.1, TLSv1.2]
8721 DEBUG [2017-01-20 00:08:19]  Enabled cipher suites:[TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256, TLS_RSA_WITH_AES_128_CBC_SHA256, TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA256, TLS_ECDH_RSA_WITH_AES_128_CBC_SHA256, TLS_DHE_RSA_WITH_AES_128_CBC_SHA256, TLS_DHE_DSS_WITH_AES_128_CBC_SHA256, TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA, TLS_RSA_WITH_AES_128_CBC_SHA, TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA, TLS_ECDH_RSA_WITH_AES_128_CBC_SHA, TLS_DHE_RSA_WITH_AES_128_CBC_SHA, TLS_DHE_DSS_WITH_AES_128_CBC_SHA, TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256, TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256, TLS_RSA_WITH_AES_128_GCM_SHA256, TLS_ECDH_ECDSA_WITH_AES_128_GCM_SHA256, TLS_ECDH_RSA_WITH_AES_128_GCM_SHA256, TLS_DHE_RSA_WITH_AES_128_GCM_SHA256, TLS_DHE_DSS_WITH_AES_128_GCM_SHA256, TLS_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA, TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA, SSL_RSA_WITH_3DES_EDE_CBC_SHA, TLS_ECDH_ECDSA_WITH_3DES_EDE_CBC_SHA, TLS_ECDH_RSA_WITH_3DES_EDE_CBC_SHA, SSL_DHE_RSA_WITH_3DES_EDE_CBC_SHA, SSL_DHE_DSS_WITH_3DES_EDE_CBC_SHA, TLS_EMPTY_RENEGOTIATION_INFO_SCSV]
8722 DEBUG [2017-01-20 00:08:19]  Starting handshake
9395 DEBUG [2017-01-20 00:08:20]  Secure session established
9396 DEBUG [2017-01-20 00:08:20]   negotiated protocol: TLSv1.2
9397 DEBUG [2017-01-20 00:08:20]   negotiated cipher suite: TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256
9398 DEBUG [2017-01-20 00:08:20]   peer principal: CN=*.github.com, O="GitHub, Inc.", L=San Francisco, ST=California, C=US
9398 DEBUG [2017-01-20 00:08:20]   peer alternative names: [*.github.com, github.com]
9398 DEBUG [2017-01-20 00:08:20]   issuer principal: CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US
9407 DEBUG [2017-01-20 00:08:20]  Connection established 192.168.0.101:59981<->192.30.253.116:443
9407 DEBUG [2017-01-20 00:08:20]  Executing request GET /? HTTP/1.1
9408 DEBUG [2017-01-20 00:08:20]  Target auth state: UNCHALLENGED
9408 DEBUG [2017-01-20 00:08:20]  Proxy auth state: UNCHALLENGED
9411 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 >> GET /? HTTP/1.1
9411 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 >> Host: api.github.com
9411 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 >> Connection: Keep-Alive
9411 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_91)
9411 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 >> Accept-Encoding: gzip,deflate
9412 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 >> "GET /? HTTP/1.1[\r][\n]"
9412 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 >> "Host: api.github.com[\r][\n]"
9412 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]"
9412 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 >> "User-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_91)[\r][\n]"
9412 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]"
9412 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 >> "[\r][\n]"
9646 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
9646 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "Server: GitHub.com[\r][\n]"
9646 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "Date: Thu, 19 Jan 2017 16:08:20 GMT[\r][\n]"
9647 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "Content-Type: application/json; charset=utf-8[\r][\n]"
9647 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "Transfer-Encoding: chunked[\r][\n]"
9647 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "Status: 200 OK[\r][\n]"
9647 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "X-RateLimit-Limit: 60[\r][\n]"
9647 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "X-RateLimit-Remaining: 58[\r][\n]"
9647 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "X-RateLimit-Reset: 1484845308[\r][\n]"
9647 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "Cache-Control: public, max-age=60, s-maxage=60[\r][\n]"
9648 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "Vary: Accept[\r][\n]"
9648 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "ETag: W/"71c20e818259a283a4a0ff002435bd03"[\r][\n]"
9648 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "X-GitHub-Media-Type: github.v3; format=json[\r][\n]"
9649 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "Access-Control-Expose-Headers: ETag, Link, X-GitHub-OTP, X-RateLimit-Limit, X-RateLimit-Remaining, X-RateLimit-Reset, X-OAuth-Scopes, X-Accepted-OAuth-Scopes, X-Poll-Interval[\r][\n]"
9649 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "Access-Control-Allow-Origin: *[\r][\n]"
9649 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "Content-Security-Policy: default-src 'none'[\r][\n]"
9649 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "Strict-Transport-Security: max-age=31536000; includeSubdomains; preload[\r][\n]"
9649 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "X-Content-Type-Options: nosniff[\r][\n]"
9649 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "X-Frame-Options: deny[\r][\n]"
9649 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "X-XSS-Protection: 1; mode=block[\r][\n]"
9649 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "Vary: Accept-Encoding[\r][\n]"
9650 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "X-Served-By: 4c8b2d4732c413f4b9aefe394bd65569[\r][\n]"
9650 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "Content-Encoding: gzip[\r][\n]"
9650 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "X-GitHub-Request-Id: EA4D:7EF5:14E3962:1A0F275:5880E46F[\r][\n]"
9650 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "[\r][\n]"
9650 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "1d9[\r][\n]"
9650 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "[0x1f][0x8b][0x8][0x0][0x0][0x0][0x0][0x0][0x0][0x3][0x95][0x95]Mn[0xc2]0[0x10][0x85][0xef][0xc2][0xa2]+[0x84][0xf7]H[0x15]G[0x89]L2$n[0x93]8[0xd8][0x93]"jq[0xf7][0xce][0xd8][0x9]$T[0xb2][0x9d][\r][0xb0][0xf8][0xde][0xcc][0x9b]?[0xe3]v[0xe5]h[0xc][0xf4]X[0x8c][0x16]L1[0x9a]vw[0xdc]5[0x88][0x83]=[\n]"
9650 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "![0x7]u[0xa8][0x15]6[0xe3][0xf9]P[0xea]N0[0xb1][0xdb][0xaf][0x5]r[0xc4]F[0x1b][0xf5]+Q[0xe9][0xde][0x16][\r]v[0xed][[0x90]E[0x0][0xb][0x88][0xaa][0xaf][0xad](u[0xdf]C[0xe9]%[0x94]dhU[0x19][0xf4]N[0x94][0xad]b3[0xaa]zP[0xa6][0xb7][0xe0]Qsk[0x96]m[0xea][\n]"
9651 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "[\n]"
9651 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "[0xb][0xd2][0x94]M[0xbc][0xac][0xc0][0x90][0xa7][\n]"
9651 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "N[0xd7]Ow[0x1d][0xc1][0xdc][0x1f][0xee]c[0x90]5[0xec][0x7][0xea][0x89][0xff]a[0xb5][0xc1][0xbd]6[0x15][0x18]6F[0xdd][0xe8][0x14]n[0x8b][0xce][\n]"
9651 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "[0x9b][0x9b][0x0]:[0xa9]Z[0x1b][0xf7][0xcd][0xe3][0x10][0x1]$K[0xd0][0xe9]/[0x95]P[0x4][0x86][0xe1][0x1f]jr[\n]"
9651 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "[0xf6][0xc][0xc1][0x17][0x80]*[0xc1]z[0x84]Q[0xdd][0xb6][0xfa][0x6]&[0x81]{[0xe7]O[0xf6][0xa9][0xa3][0xd5][0xc8][0xa8]8[0xe8][0x88]u[0x2][0xa5][0xa9][0x1]y [0xb5][0xb2][0xa9]z<[0xe2][0x4]M[0xeb]E{[0x1d][0xcf]G[0x0][0xc5]V[0xd6][0x8e][0x9b]6[0xc9][0xb][0xb2]G[0x1d][0xe8][0xb8][0x91][0xc0][0x90][0x97]o[0xb8][0xe7][0xf4][0x96]1[0xa2]{[0x8d][0xea]2[0xdf]V<[0xc3][\n]"
9651 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "%[0xa9]6[0xb5][0xec][0xa7][0xb3].[0xc][0xc][0xda]*[0xa4];[0x87]Dv[0x92]Y[0xe1][0xe8][0xf3]![0xbc][0xc8][0x9d][0xf0]>[0xd0][0x19][0xfd][0xbb]%[0x1e][0xda]*G[0xf4][0xb8]_aI6[0x8c]gz0[0x8a][0xdc][0x91][0x8b][0xc0][0x93][0xd0]H[0x84][0xa2]U|[0xb9][0xd1]l/[0x8e]Es[0xed][0xf7][0x84][0x88]9*[0xfd][0xd6][0xd3][0x13]![0x1c][0xcb][0xb8][0xc6][0x85]|[0xc3][[0xb4]lx[0xee][0x93][0xb1]z[0xc7][0xf3]'[0xe6]o1=+K[0xb7]f[0xa0]"
9660 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << HTTP/1.1 200 OK
9661 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << Server: GitHub.com
9661 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << Date: Thu, 19 Jan 2017 16:08:20 GMT
9661 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << Content-Type: application/json; charset=utf-8
9662 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << Transfer-Encoding: chunked
9662 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << Status: 200 OK
9662 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << X-RateLimit-Limit: 60
9662 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << X-RateLimit-Remaining: 58
9662 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << X-RateLimit-Reset: 1484845308
9662 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << Cache-Control: public, max-age=60, s-maxage=60
9662 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << Vary: Accept
9662 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << ETag: W/"71c20e818259a283a4a0ff002435bd03"
9662 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << X-GitHub-Media-Type: github.v3; format=json
9663 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << Access-Control-Expose-Headers: ETag, Link, X-GitHub-OTP, X-RateLimit-Limit, X-RateLimit-Remaining, X-RateLimit-Reset, X-OAuth-Scopes, X-Accepted-OAuth-Scopes, X-Poll-Interval
9663 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << Access-Control-Allow-Origin: *
9663 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << Content-Security-Policy: default-src 'none'
9663 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << Strict-Transport-Security: max-age=31536000; includeSubdomains; preload
9663 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << X-Content-Type-Options: nosniff
9663 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << X-Frame-Options: deny
9663 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << X-XSS-Protection: 1; mode=block
9663 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << Vary: Accept-Encoding
9663 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << X-Served-By: 4c8b2d4732c413f4b9aefe394bd65569
9664 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << Content-Encoding: gzip
9664 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << X-GitHub-Request-Id: EA4D:7EF5:14E3962:1A0F275:5880E46F
9677 DEBUG [2017-01-20 00:08:20]  Connection can be kept alive indefinitely
9688 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "[0x8a][0xf7][0xc0][0xc7][0x9a]H'B+[0x9c][0xf][0xce][0xad][0x98]Cd[0xf]n[0x12][0x90][0x14]Av[0xf1][0xd4]L[0xf0][0xca][0xe7][0xfd][0x8b][0xd1][0xa0][0x18]dW^[0xb0][0xdc][0xc4][0xc4][0x86][0xfb][0x1a]y[0x1f]g[0xed][0xb6]V[0xcf][0x99]3Z[0xee][0x9d]mX[0x1a][0xe6]3_[0x9d][0xc7][0x1f]O[0xd6]8[0x6][0xf7][0x7][0x0][0x0][\r][\n]"
9688 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "0[\r][\n]"
9689 DEBUG [2017-01-20 00:08:20]  http-outgoing-0 << "[\r][\n]"
0    DEBUG [2017-01-20 00:08:58]  CookieSpec selected: default
49   DEBUG [2017-01-20 00:08:58]  Auth cache not set in the context
53   DEBUG [2017-01-20 00:08:58]  Connection request: [route: {s}->https://api.github.com:443][total kept alive: 0; route allocated: 0 of 2; total allocated: 0 of 20]
111  DEBUG [2017-01-20 00:08:58]  Connection leased: [id: 0][route: {s}->https://api.github.com:443][total kept alive: 0; route allocated: 1 of 2; total allocated: 1 of 20]
116  DEBUG [2017-01-20 00:08:58]  Opening connection {s}->https://api.github.com:443
132  DEBUG [2017-01-20 00:08:58]  Connecting to api.github.com/192.30.253.116:443
